importing BLAga
Mismatch at C[266,0]: ngsolve=367.094485713393, BLAga=9.04e-322
Mismatch at C[267,0]: ngsolve=358.5212248096149, BLAga=9.34e-322
Mismatch at C[268,0]: ngsolve=359.3061255826884, BLAga=8.9e-322
Mismatch at C[269,0]: ngsolve=365.9082955603037, BLAga=8.8e-322
Mismatch at C[270,0]: ngsolve=354.82958323989027, BLAga=8.05e-322
Mismatch at C[271,0]: ngsolve=351.23774355477025, BLAga=7.95e-322
Mismatch at C[272,0]: ngsolve=358.12026073281703, BLAga=8.9e-322
Mismatch at C[273,0]: ngsolve=360.00531787617217, BLAga=9.6e-322
Mismatch at C[274,0]: ngsolve=356.71449194726006, BLAga=8.3e-322
Mismatch at C[275,0]: ngsolve=358.22192181061706, BLAga=8.25e-322
Mismatch at C[276,0]: ngsolve=362.01020857594585, BLAga=9.73e-322
Mismatch at C[277,0]: ngsolve=365.5971053354013, BLAga=8.84e-322
Mismatch at C[278,0]: ngsolve=359.94294712643733, BLAga=8.3e-322
Mismatch at C[279,0]: ngsolve=352.1048339142828, BLAga=8.7e-322
Mismatch at C[280,0]: ngsolve=359.6414268317748, BLAga=9.3e-322
Mismatch at C[281,0]: ngsolve=349.9927577279387, BLAga=7.3e-322
Mismatch at C[282,0]: ngsolve=365.0256054650463, BLAga=8.74e-322
Mismatch at C[283,0]: ngsolve=353.11429535702126, BLAga=8.5e-322
Mismatch at C[284,0]: ngsolve=364.14682142857384, BLAga=8.6e-322
Mismatch at C[285,0]: ngsolve=362.9922254773076, BLAga=8.8e-322
Mismatch at C[286,0]: ngsolve=366.2452010021831, BLAga=9.1e-322
Mismatch at C[287,0]: ngsolve=362.4090875798017, BLAga=9.5e-322
Mismatch at C[288,0]: ngsolve=361.4656069171174, BLAga=8.65e-322
Mismatch at C[289,0]: ngsolve=357.349964790915, BLAga=9.24e-322
Mismatch at C[290,0]: ngsolve=359.9294947140466, BLAga=8.2e-322
Mismatch at C[291,0]: ngsolve=375.0946375244763, BLAga=9.8e-322
Mismatch at C[292,0]: ngsolve=360.7252198221291, BLAga=9.5e-322
Mismatch at C[293,0]: ngsolve=373.14801905297304, BLAga=9.1e-322
Mismatch at C[294,0]: ngsolve=360.0135105860387, BLAga=9.44e-322
Mismatch at C[295,0]: ngsolve=362.6042351808169, BLAga=9.83e-322
Mismatch at C[296,0]: ngsolve=365.25271889497725, BLAga=9.14e-322
Mismatch at C[297,0]: ngsolve=368.2352979647821, BLAga=9e-322
